링크	업체명	키워드	발행일	동일키워드발행수	검색순위
https://blog.naver.com/dnation09/224293456190	가경동 맛	가경동 맛집	2026. 5. 22.	2	
https://blog.naver.com/dnation09/224219801135	달구레 감자탕	가경동 맛집	2026. 3. 17.	2	
https://blog.naver.com/dnation09/224320871555	파크루안 역삼점	강남 룸식당	2026. 6. 21.	1	
https://blog.naver.com/dnation09/224218794677	곳만	강남맛집	2026. 3. 16.	1	
https://blog.naver.com/dnation09/224279056443	파크루안 역삼점	강남역 룸식당	2026. 5. 8.	1	
https://blog.naver.com/dnation09/224296758106	육목원	강남역 소고기	2026. 5. 26.	1	
https://blog.naver.com/dnation09/224263738076	찬란한 아구 강남본점	강남역 점심 맛집	2026. 4. 26.	1	
https://blog.naver.com/dnation09/224309473149	패왕훠궈	강남 점심	2026. 6. 8.	1	
https://blog.naver.com/dnation09/224290352513	리정원 암사역점	강동 맛집	2026. 5. 19.	1	
https://blog.naver.com/dnation09/224323365087	대동면옥 강릉점	강릉막국수	2026. 6. 22.	1	
https://blog.naver.com/dnation09/224323356741	대동면옥 강릉본점	강릉맛집	2026. 6. 22.	4	
https://blog.naver.com/dnation09/224313863257	대동면옥 강릉본점	강릉맛집	2026. 6. 13.	4	
https://blog.naver.com/dnation09/224290354404	대동면옥 강릉본점	강릉맛집	2026. 5. 20.	4	
https://blog.naver.com/dnation09/224227616257	고선생 화덕생선구이	강릉맛집	2026. 3. 24.	4	
https://blog.naver.com/dnation09/224318758448	대동면옥 강릉본점	강릉맛집추천	2026. 6. 17.	2	
https://blog.naver.com/dnation09/224261329013	대동면옥 강릉본점	강릉맛집추천	2026. 4. 22.	2	
https://blog.naver.com/dnation09/224318763977	대동면옥 강릉본점	강릉역 맛집	2026. 6. 17.	1	
https://blog.naver.com/dnation09/224259735782	대동면옥 강릉본점	강릉 점심 맛집	2026. 4. 21.	1	
https://blog.naver.com/dnation09/224292452560	대동면옥 강릉본점	강릉 현지인 맛집	2026. 5. 21.	1	
https://blog.naver.com/dnation09/224319878365	우동키노야 건대입구점	건대 맛집	2026. 6. 18.	1	
